"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,103,103,25,1654810
2023-06-01,yandex,cpc,prof-frontend,78,78,12,1057000
2023-06-01,yandex,cpc,base-python,31,31,7,476021
2023-06-01,yandex,cpc,prof-python,62,62,7,613196
2023-06-29,google,organic,,4701,10,7,902421
2023-06-01,vk,cpc,prof-python,71,40,5,355564
2023-06-01,vk,cpc,freemium-frontend,80,43,5,338083
2023-06-25,google,organic,,2632,6,4,468662
2023-06-01,yandex,cpc,prof-java,49,49,4,284590
2023-06-02,google,organic,,4469,4,3,285846
2023-06-01,yandex,cpc,base-frontend,40,40,3,268515
2023-06-01,yandex,cpc,prof-professions-brand,13,13,3,154287
2023-06-22,google,organic,,2611,7,3,512696
2023-06-01,google,organic,,5493,10,2,161200
2023-06-01,yandex,cpc,prof-data-analytics,14,14,2,220264
